Dataset,Algorithm,Attack,seed,had_cache,new_test_mae,d_test_mae,new_test_rmse,d_test_rmse,new_test_mape,d_test_mape,new_test_accuracy,d_test_accuracy,new_test_macro_f1,d_test_macro_f1,new_test_macro_recall,d_test_macro_recall,new_test_auc,d_test_auc,new_sec_trust_auc,d_sec_trust_auc,new_sec_malicious_weight_mass,d_sec_malicious_weight_mass,new_sec_tdr,d_sec_tdr,new_sec_fpr,d_sec_fpr,worst_delta,changed
PEMS04,Static-Mamdani-FL,Label_Flipping,45,True,1.8042356967926025,0.0,2.6937808990478516,0.0,3.7597596645355225,0.0,0.92365,0.0,0.6140602255627102,0.0,0.5704332990510071,0.0,0.9938145091026968,0.0,1.0,0.0,0.19417246000264754,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Label_Flipping,46,True,1.7747451066970825,0.0,2.508493185043335,0.0,3.466331958770752,0.0,0.9347,0.0,0.7137641848079238,0.0,0.6720906977328139,0.0,0.9939723740628217,0.0,1.0,0.0,0.2011556800588851,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,Label_Flipping,47,True,1.796064019203186,0.0,2.5019843578338623,0.0,3.5192110538482666,0.0,0.9355,0.0,0.7124119138088236,0.0,0.6793629040535618,0.0,0.9938314967462046,0.0,1.0,0.0,0.19756881709873536,0.0,0.0,0.0,0.0,0.0,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,42,True,0.9973778128623962,0.0,1.8505520820617676,0.0,1.8529478311538696,0.0,0.9475,0.0,0.8231817941405349,0.0,0.8115402682785884,0.0,0.9941235475078851,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,43,True,0.9975150227546692,0.0,1.8505878448486328,0.0,1.8539342880249023,0.0,0.94695,0.0,0.8179072030137101,0.0,0.8100713557988666,0.0,0.9941465711655372,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,44,True,0.9997227787971497,0.0,1.8416787385940552,0.0,1.8447542190551758,0.0,0.94685,0.0,0.8191346925201435,0.0,0.8135601080568927,0.0,0.9942868055200508,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,45,True,1.0024007558822632,0.0,1.8522028923034668,0.0,1.8706377744674683,0.0,0.9466,0.0,0.8191817016148597,0.0,0.8149767749113476,0.0,0.994146906144762,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,46,True,0.9957408308982849,0.0,1.8447909355163574,0.0,1.8498845100402832,0.0,0.9473,0.0,0.8226471006111605,0.0,0.8154443186220016,0.0,0.9940813505169375,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,No_Attack,47,True,0.9972670078277588,0.0,1.8545615673065186,0.0,1.8559513092041016,0.0,0.9476,0.0,0.8214194273247262,0.0,0.8101758797922078,0.0,0.9941157065231978,0.0,,,0.0,0.0,,,,,0.0,False
PEMS04,Static-Mamdani-FL,Sybil_Poisoning,42,True,1.9243521690368652,0.0,2.485417127609253,0.0,3.5767288208007812,0.0,0.9246,0.0,0.7596037159239133,0.0,0.7615108499082595,0.0,0.9937109230022761,0.0,1.0,0.0,0.1922895073881586,0.0,0.0,0.0,0.0,0.0,0.0,False
