Dataset,Attack,Algorithm,seed,true_class,pred_0,pred_1,pred_2,pred_3,pred_4
PEMS-BAY,Sybil_Poisoning,Static-Mamdani-FL,42,3,0,0,71,1942,98
PEMS-BAY,Sybil_Poisoning,Static-Mamdani-FL,42,4,0,0,0,1081,15215
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,0,413,30,0,0,0
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,1,49,570,40,5,1
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,2,0,69,321,87,8
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,3,0,1,61,1711,338
PEMS-BAY,Sybil_Poisoning,ZeroTrust-ANFIS-FL,42,4,0,0,1,278,16017
PEMS04,No_Attack,FedAvg,42,0,249,35,1,0,0
PEMS04,No_Attack,FedAvg,42,1,34,369,43,4,2
PEMS04,No_Attack,FedAvg,42,2,1,57,294,100,7
PEMS04,No_Attack,FedAvg,42,3,0,7,61,1495,432
PEMS04,No_Attack,FedAvg,42,4,1,1,2,255,16550
PEMS04,No_Attack,FedProx,42,0,229,55,1,0,0
PEMS04,No_Attack,FedProx,42,1,19,366,58,6,3
PEMS04,No_Attack,FedProx,42,2,0,50,285,114,10
PEMS04,No_Attack,FedProx,42,3,0,6,55,1497,437
PEMS04,No_Attack,FedProx,42,4,1,1,2,256,16549
PEMS04,No_Attack,SCAFFOLD,42,0,243,41,1,0,0
PEMS04,No_Attack,SCAFFOLD,42,1,29,371,46,3,3
PEMS04,No_Attack,SCAFFOLD,42,2,1,60,294,97,7
PEMS04,No_Attack,SCAFFOLD,42,3,0,6,78,1502,409
PEMS04,No_Attack,SCAFFOLD,42,4,1,1,2,316,16489
PEMS04,No_Attack,FLTrust,42,0,242,43,0,0,0
PEMS04,No_Attack,FLTrust,42,1,34,364,48,4,2
PEMS04,No_Attack,FLTrust,42,2,1,49,303,98,8
PEMS04,No_Attack,FLTrust,42,3,0,6,72,1479,438
PEMS04,No_Attack,FLTrust,42,4,1,1,4,264,16539
PEMS04,No_Attack,Multi-Krum,42,0,249,35,1,0,0
PEMS04,No_Attack,Multi-Krum,42,1,33,366,46,5,2
PEMS04,No_Attack,Multi-Krum,42,2,1,51,295,105,7
PEMS04,No_Attack,Multi-Krum,42,3,0,7,59,1495,434
